Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta description;URL rewritten;Image URL
213;1;Delantera;209;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=141&field=image_512
214;1;Posapies;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=145&field=image_512
215;1;Protesis;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=31&field=image_512
216;1;Sillitas portabebes;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=149&field=image_512
217;1;Portamuñecas;216;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=152&field=image_512
218;1;AL PORTAMALETAS;216;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=153&field=image_512
219;1;Delantera;216;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=151&field=image_512
220;1;AL CUADRO;216;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=150&field=image_512
221;1;Timbres;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=29&field=image_512
222;1;Bocinas;221;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=347&field=image_512
223;1;Expositores;221;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=484&field=image_512
224;1;Adulto;221;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=154&field=image_512
225;1;Infantil;221;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=30&field=image_512
226;1;Componentes;1;1;;;;;https://jlwenti.com/website/image?model=product.public.category&id=452&field=image_512
227;1;Bielas;226;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=156&field=image_512
228;1;Bielas acero;227;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=158&field=image_512
229;1;Bielas aluminio;227;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=157&field=image_512
230;1;Bielas BMX;227;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=426&field=image_512
231;1;Bielas E-Bike;227;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=523&field=image_512
232;1;Bolas y rodamientos;226;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=159&field=image_512
233;1;Bolas;232;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=483&field=image_512
234;1;Direccion;232;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=161&field=image_512
235;1;Pedalier;232;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=162&field=image_512
236;1;Rueda;232;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=163&field=image_512
237;1;Sellados;232;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=493&field=image_512
238;1;Cables, guias, terminales;226;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=48&field=image_512
239;1;Cambio;238;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=165&field=image_512
240;1;Freno;238;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=166&field=image_512
241;1;Terminales;238;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=450&field=image_512
242;1;Terminales y guias;241;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=164&field=image_512
243;1;Camaras;226;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=52&field=image_512
244;1;"12""";243;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=366&field=image_512
245;1;"14""";243;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=367&field=image_512
246;1;"16""";243;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=368&field=image_512
